	0	1
658	Идет рост рядов НДПА .	O O O B-ORG O
659	Вчера с утренней почтой принесли мартовский номер « Нашего современники » .	O O O O O O O O O O O O
660	И только упорядочились и ужесточились до непомерности требования , чего некоторые уже не выдерживают .	O O O O O O O O O O O O O O O
661	А жаль .	O O O
662	В общем , возвращался из отпуска я с приключениями .	O O O O O O O O O O
663	Новостей особых нет .	O O O O
664	[ таблица с оценками ] Дела так вроде бы ничего себе , но лучше уж сидеть себе дома , и не хватать плохих оценок . Завтра зачет !!!!! Спокойной ночи !	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
665	Но все это выше понимания Пономарева , он витает в димитровско-коминтерновской облачности .	O O O O O B-PER O O O O O O O
666	Вот пусть они и творят , а что получится , посмотрим .	O O O O O O O O O O O O
667	Игорю дали нового адвоката .	B-PER O O B-CHAR O
668	Горбачев , сознает он или нет , идет к самодержавию , это сейчас лучшее , что может быть .	B-PER O O O O O O O O O O O O O O O O O O
669	И всё же мы хорошо походили и порадовались !	O O O O O O O O O
670	Или не нажал ?	O O O O
671	У него появился реальный интерес в успехе пятилеток .	O O O O O O O O O
672	« Вот так мое пытают сердце , воспламеняя нежным взглядом , но стоит сердцу разгореться , надменным остужают хладом » .	O O O O O O O O O O O O O O O O O O O O O
673	Но пока в силе гэбэ и весь репрессивный аппарат , вряд ли из этого выйдет настоящий толк .	O O O O B-ORG O O B-ORG I-ORG O O O O O O O O O
674	И он сам напросился на перевод к разведчикам .	O O O O O O O B-CHAR O
675	— Что так мало ?	O O O O O
676	Ох , хитрый мужик .	O O O B-CHAR O
677	Вот эта повесть впервые напечатана в нынешнем 1986 году ( написана в 1934 ) .	O O O O O O O O O O O O O O O
678	А сочинение , скажем , весьма симпатичное .	O O O O O O O O
679	Не наше время , говорят .	O O O O O O
680	Эфрос и Крымова останутся без работы завтра .	B-PER O B-PER O O O O O
681	В Ленинграде впервые открылась выставка Филонова , уже событие .	O B-LOC O O O B-PER O O O O
682	Он один из близстоящих « не сориентировался » .	O O O O O O O O O
683	Пришел и наш час .	O O O O O
684	Сперва очень плохо читала меня самоуверенная профессионально Софья Блюхер .	O O O O O O O B-PER I-PER O
685	Озеро Маленец , как чаша лежит между кущами деревьев .	B-LOC I-LOC O O O O O O O O
686	На полотнах — « Родительский дом » , « Проводы в армию » , деревни Писеево , Оркино , Минчегурт , пейзажи , натюрморты , иллюстрации к книге , картина о двух поэтах родной земли — Ашальчи Оки и Кузебае Герде .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-CHAR O O O B-PER I-PER O B-PER I-PER O
687	Я поздоровался с ними вежливо .	O O O O O O
688	Но чтобы это изменить , ужесточения мало , нужно перестроить всю систему торговли , хорошо бы на капиталистический лад , но хотя бы , реально , так чтобы продавец был заинтересован в результате .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-CHAR O O O O O
689	Это были просто рядовые той войны .	O O O B-CHAR O O O
690	Этого требует справедливость и это очень важно для нашей страны , для международного доверия к ней , важно для мира , для Вас лично и для успеха Ваших начинаний » .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
691	Пятый день дома .	O O O O
692	Над Кандагаром простиралось без единого облачка голубое небо .	O B-LOC O O O O O O O
693	С отцом Жени , которая от нас удрала , Георгием Евгениевичем ходили по городу Рига и тихо разговаривали .	O B-CHAR B-PER O O O O O O B-PER I-PER O O B-LOC I-LOC O O O O
694	А ко мне , говорит , все в издательстве относятся доброжелательно , « Притомье » в редподготовке , но выйдет в свет лишь в 1988 году .	O O O O O O O O B-ORG O O O O O O O O O O O O O O O O O O
695	Вверху он подписал — что просит огласить это заявление любыми средствами каждого , кому оно попадет в руки .	O O O O O O O O O O O O O O O O O O O
696	С собой как всегда — печенье , два яйца , конфеты — это обед .	O O O O O O O O O O O O O O O
697	Попросила у Гали снотворное .	O O B-PER O O
698	Он стремится стать где-нибудь директором .	O O O O B-CHAR O
699	Позвонил по этому поводу друзьям ...	O O O O B-CHAR O
700	Глупость , но она никак не преодолима , хоть при этом страдает не только многолетняя дружба .	O O O O O O O O O O O O O O O O O
701	Но благоразумие требует ...	O O O O
702	Позвонил Шрамову и просил во всю « Литгазету » махнуть сбор средств на скульптурную композицию Василию Теркину на Смоленщине .	O B-PER O O O O B-ORG I-ORG I-ORG O O O O O O B-PER I-PER O B-LOC O
703	Надо бы как-то и за грибами съездить .	O O O O O O O O
704	Да , в общем , никак .	O O O O O O O
705	Прилетели в Карши пассажирами .	O O B-LOC B-CHAR O
706	Таким образом , пороки нужно обернуть в красочную обертку , точнее , наоборот , обернуть в такую обертку , чтобы они не светились !	O O O O O O O O O O O O O O O O O O O O O O O O
707	У нас — молчание .	O O O O O
708	В коридоре , правда , первый врач сказал мне , что считает меня нормальным , сочувствует мне , но решать будет комиссия .	O O O O O O B-CHAR O O O O O O O O O O O O O O O O
709	Дни здесь проходят гораздо медленнее .	O O O O O O
710	Запугали Заура .	O B-PER O
711	9.05 . День , полный гостей , — День Победы .	O O O O O O O O O O O
712	Одинцово — Дом офицеров .	B-LOC O B-FAC I-FAC O
713	Прогулялся до « Брюха » , старательно обходя театр .	O O B-ORG I-ORG I-ORG O O O B-FAC O
714	Рыжков поддержал Горбачева .	B-PER O B-PER O
715	И еще — в субботу я иду на « Унесенные ветром » — вероятно , в последний раз , кончается прокат .	O O O O O O O O O O O O O O O O O O O O O O
716	Да ?!	O O
717	Престарелые родители вдруг прислали посылку , а в ней немножко фасоли , немножко муки и сахару .	O B-CHAR O O O O O O O O O O O O O O O
718	После того , как теория описывает « мир » , традиция помещается в этот мир в качестве одного из фактов , этот мир образующих , и становится историей .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
719	Я даже решил , что это крохали , но крупные .	O O O O O O O O O O O
720	А вот революция и гражданская война : тут было много крови , которую сердце поэта пропускало через себя .	O O O O O O O O O O O O O O B-CHAR O O O O
721	Самолет окупается на бездорожье и на дальних расстояниях .	O O O O O O O O O
722	Приехал за 10 минут до начала : зал полон , мест нет , и сотня человек толкается у входа .	O O O O O O O O O O O O O O O O O O O O
723	Подбирать нельзя — перелетишь далеко , дергаться тут нечего , сиди , исправляй крены , жди касания .	O O O O O O O O O O O O O O O O O O
724	Так что же делать с материализмом и идеализмом ?	O O O O O O O O O
725	Сегодня выходной , пойду на фильм в 10 часов , « Нежданно-негаданно » .	O O O O O O O O O O O O O O
726	Встретил Куняева , осторожно осудил резкость тона « Манифеста » , ответ был недвусмыслен и резок : « Ты ничего не понимаешь , это обращение к народу » .	O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O
727	Легла около двух и не выспалась » .	O O O O O O O O
728	Вечером у Белобровцевых .	O O B-PER O
729	Ломал голову , как укрыть личный состав .	O O O O O O O O
730	— А вам чего ?	O O O O O
731	Погуляли у друзей на юбилее .	O O B-CHAR O O O
732	Для справки и сравнения : Дзержинский , Мархлевский стали революционерами в 18 лет , с гимназии — Роза Люксембург .	O O O O O B-PER O B-PER O B-CHAR O O O O O B-FAC O B-PER I-PER O
733	Прав Эфрос : это уж как-то некрасиво по отношению к имени В . С . В . — выдавливать друг из друга то , чего никто не хочет или не может !	O B-PER O O O O O O O O O B-PER I-PER I-PER I-PER I-PER O O O O O O O O O O O O O O O O
734	Э . Д . родилась в год написания Тютчевым стихотворения « Silentium » Знаменательное совпадение .	B-PER I-PER I-PER I-PER O O O O B-PER O O O O O O O
735	Они — привыкли .	O O O O
736	В Йоркшире — конгресс советологов .	O B-LOC O O B-CHAR O
737	Небо уносится восторженным пением и зовет за собой .	O O O O O O O O O
738	Не мог работать .	O O O O
739	Прорыл как-то небрежно .	O O O O
740	Профессиональные , старые театры закрываются , труппы распускаются как нерентабельные , но , если в Ногинске или Владимире на премьере четырнадцать человек , а на сцене больше …	O O O B-FAC O O B-ORG O O O O O O O O B-LOC O B-LOC O O O O O O O O O O
741	« Московские новости » во главе с Егором Яковлевым в полном составе вышли из КПСС .	B-ORG I-ORG I-ORG I-ORG O O O B-PER I-PER O O O O O B-ORG O
742	Откуда и почему такая ненависть ?!	O O O O O O
743	Как я и думал , он долгие месяцы « разлуки » писал , работал .	O O O O O O O O O O O O O O O
744	Горячо и страстно говорили о возможных преимуществах многосменной работы , такие строили планы , что ... )	O O O O O O O O O O O O O O O O O
745	Как всегда часто отвлекались .	O O O O O
746	Состояние такое , что не поехал .	O O O O O O O
747	Подумал , что он перекрыт .	O O O O O O
748	Она поднимает голову , силясь увидеть , что делают хирурги .	O O O O O O O O O B-CHAR O
749	Вот так и мы будем привыкать .	O O O O O O O
750	Адъютант Трескова Шлафендорф помчался в ставку и забрал пакет .	B-CHAR B-PER B-PER O O O O O O O
751	Это работы Дмитрия Стеллецкого — друга Кустодиева .	O O B-PER I-PER O B-CHAR B-PER O
752	С трудом , но оставили .	O O O O O O
753	** Горбачев ** ( ему смеясь ) .	O B-PER O O O O O O
754	Мы снимаем постоянное дежурство на веранде .	O O O O O O O
755	За это я получу минимум три сотни чистыми .	O O O O O O O O O
756	Мы решили , что мне пока торопиться не нужно — посмотрим , чем кончится здесь .	O O O O O O O O O O O O O O O O
757	Вспоминал Тоню на спектакле , как она на полу сидела , ее слова про мое пьянство и про великость …	O B-PER O O O O O O O O O O O O O O O O O O
758	Рампу закрыли с трудом , утрамбовав людей в прямом смысле .	O O O O O O O O O O O
759	Только одно еще держит – поездки .	O O O O O O O
760	Я тоже готов работать .	O O O O O
761	Не так давно мне рассказали работники , что в Ленинграде для того , чтобы усыновить чужого ребенка ( это практикуется по всей стране ) , полагается дать взятку : людей — продают .	O O O O O B-CHAR O O O B-LOC O O O O O O B-CHAR O O O O O B-LOC O O O O O O O O O O
762	Бедная Ира , здесь всё не по ней .	O B-PER O O O O O O O
763	Назначили вечер на 21 октября к Вениному дню рождения .	O O O O O O B-PER O O O
764	Мы сегодня с Таней « искупались » в шампанском .	O O O B-PER O O O O O O
765	Это уже образец , модель гонимого по политическим мотивам ученого , облагодетельствованного вдруг Сталиным , и идущего на подлость , хотя поначалу выглядел героически .	O O O O O O O O O B-CHAR O O O B-PER O O O O O O O O O O O
766	Отстает погрузка угля	O O O
767	Ощущение бессилия и бессмысленности .	O O O O O
768	Работает — не лезь !	O O O O O
769	Сейчас мучает в основном сотрудников	O O O O O
770	В Иване .	O B-PER O
771	Это мое право : принимать окончательное решение о количестве топлива на борту .	O O O O O O O O O O O O O
772	Параллели : Эзва — Люся .	O O B-PER O B-PER O
773	Июльский день сильно смахивал на октябрьский .	O O O O O O O
774	Служат , как в Союзе .	O O O O B-LOC O
775	Эта книга досталась ей от деда Степана Артемьевича Тавризова .	O O O O O B-CHAR B-PER I-PER I-PER O
776	С чем они связаны ?	O O O O O
777	Иван Антонович стал измерять ему артериальное давление .	B-PER I-PER O O O O O O
778	Но ты прав : это — сборище подонков и проституток .	O O O O O O O B-CHAR O B-CHAR O
779	Вчера вернулся после трехдневной поездки , был ... в Вольфенбютель .	O O O O O O O O O B-LOC O
780	Новый главврач , очаровательная Жанна Болотова — приходит в застоявшийся дом стариков стариков .	O B-CHAR O O B-PER I-PER O O O O B-FAC I-FAC B-CHAR O
781	Старики задают вопросы , мы отвечаем .	B-CHAR O O O O O O
782	Итак : не приватизация , а лучше « деэтатизация » [ * сокращение * * государственной * * собственности * * — * * прим . * * автора * ] , не частная собственность на землю , а бессрочная аренда , не собственные предприятия , а участие во владении ими по количеству акций и т . д .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
783	Потом поехали к Нозику , посидели , как всегда в такой день .	O O O B-PER O O O O O O O O O
784	Вечером только вхожу в дом — звонит Мамин , договариваемся на « прийти » , но у меня так и не убрана машинка , много работы ( у него — не меньше ) , так что не сейчас .	O O O O O O O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
785	Море оказалось для здешних мест прохладным	B-LOC O O O O O
786	Сейчас придет Никита со стимулятором — лекарь поневоле .	O O B-PER O O O O O O
787	На улице увидел паучка , опять какое-то дурное известие .	O B-LOC O O O O O O O O
788	Сейчас читал автокомментарий Экко — поразительно естественное , « без швов и перегородок » , сочетание настоящей учености , дотошной , книжной , пристрастно пытливой , предерзостной , с художественной , поэтической фантазией , изысканной , изощренной ; с рационалистической логикой схоласта , лихо маневрирующего между « реалистскими » универсалиями и номиналистскими , эмпирическими наблюдениями , и тут же буйное озорное , безудержно чувственное , плотское упоение игрой любовной и детективной , пристальное беспощадное исследование , чтобы не сказать любующееся разглядыванием жестоких извращений , маний , всяческих темных тайников и лабиринтов , монастырских , конкретно исторических и душевных , плотских .	O O O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
789	Однако , думаю , это сигналы и визит Мэтлока подогрели его , подтолкнули к тому , чтобы устроить настоящий разнос Верховному Совету .	O O O O O O O O B-PER O O O O O O O O O O O B-ORG I-ORG O
790	Ната ее не переваривает , но внешне , конечно , с ней сверхлюбезна .	B-PER O O O O O O O O O O O O O
791	Ладно , идём за bus ` ом , долго идём , возвращаемся и снова идём .	O O O O O O O O O O O O O O O O
792	Поздравлял меня с членством в Союзе художников художников .	O O O O O B-ORG I-ORG B-CHAR O
793	Он своей неординарностью , это следует признать , задал тон и выступлениям и определил саму атмосферу конференции .	O O O O O O O O O O O O O O O O O O
794	А рядом лежит недвижимый Киямов .	O O O O B-PER O
795	Эти дети с замедленным развитием в каком-то смысле . Печаль на душе такая древняя . Три недели выхода из ада осветили более ярко наши гнусности .	O B-CHAR O O O O O O O O O O O O O O O O O O O O O O O O
796	Слышать , понимать , чувствовать , любить , и еще самостоятельно чегой-то бренчать .	O O O O O O O O O O O O O O
797	Несправедливо все это .	O O O O
798	"Э . К . < com id = "" 14808743724299 "" / > называет поименно новый секретариат ..."	O O O O O O O O O O O O O O O O B-ORG O
799	Как можно спорить , что это — игрушки ?	O O O O O O O O O
800	Июльская жара плыла от палящего солнца , и ветки трещали , как в костре ...	O O O O O O O O O O O O O O O
801	Об этом , кстати , я читал в письмах Ван Гога .	O O O O O O O O O B-PER I-PER O
802	Я в смятении : отнять у Венички остаток надежды ?	O O O O O O B-PER O O O
803	Выпил и вторую .	O O O O
804	Владимир Иванович прошел всю войну шофером до Берлина , восстановил разбитый трофейный грузовичок , привез его в Ленинград , работал на нем . Последние годы — мастером на заводе « Ленгазаппарат » .	B-PER I-PER O O O B-CHAR O B-LOC O O O O O O O O O B-LOC O O O O O O O O B-CHAR O B-ORG I-ORG I-ORG I-ORG O
805	Это режиссерский фильм , текст сценария — самое слабое .	O O O O O O O O O O
806	Она — единственная .	O O O O
807	После абсурдно-загадочных увязок и согласований ( ах , как об этом гениально писал Кафка в « Замке » ! )	O O O O O O O O O O O O O B-PER O O O O O O
808	Правда , без фотографии и благоухания , но все-таки . Вечером проявили нашу копенгагенскую пленку , точнее , скорее всего это была она , но я нашла две пленки , замотанные в фольгу .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
809	Когда речь зашла с Горбачевым об очернительстве на телевидении ( в отношении нашей истории ) , он опять « соскочил » на то , что Сталин ненавидел крестьянство и изничтожал его сознательно .	O O O O B-PER O O O O O O O O O O O O O O O O O O O O B-PER O B-CHAR O O O O O
810	Активист произносит бессмысленные речи , основанные на директивах сверху , и призывает к раскулачиванию .	B-CHAR O O O O O O O O O O O O O O
811	Люди могут болтаться там целыми днями .	O O O O O O O
812	Они часто работают сверхурочно , « производственная необходимость » .	O O O O O O O O O O
813	В 1959 году , по словам Виталия Яковлевича Вульфа , пьесу собиралась играть великая М . И . Бабанова .	O O O O O O B-PER I-PER I-PER O O O O O B-PER I-PER I-PER I-PER I-PER O
814	Кроме того , нужно учесть , что одежда тут дорогая .	O O O O O O O O O O O
815	По мировым ценам , за валюту .	O O O O O O O
816	Торгуют генералы и полковники в отставке .	O B-CHAR O B-CHAR O O O
817	Я больше не увижу тебя никогда , жестокая смерть разлучила нас .	O O O O O O O O O O O O
818	А моя с ним беседа так и лежит в дальнем ящике стола : ушёл поезд ...	O O O O O O O O O O O O O O O O
819	Мы его все подначиваем , при его появлении , шутливо командуем : « Смирно ! » .	O O O O O O O O O O O O O O O O O
820	Нельзя лишать людей среды обитания .	O O O O O O
821	Почему я так люблю Москву ?	O O O O B-LOC O
822	Самым близким в омонимическом смысле человеком оставался шеф немецкого абвера адмирал Канарис .	O O O O O O O B-CHAR O B-ORG B-CHAR B-PER O
823	За длинным столом в зале сидели актеры и актрисы — знакомые и одновременно еще чужие .	O O O O O O B-CHAR O B-CHAR O O O O O O O
824	Мой переводчик Шарафуддин после тяжелого ранения все еще находился на излечении в Центральном военном госпитале .	O B-CHAR B-PER O O O O O O O O O B-FAC I-FAC I-FAC O
825	Мы бродим из зала в зал и задаем себе один и тот же вопрос : почему этот , а не тот — например , не я ?	O O O O O O O O O O O O O O O O O O O O O O O O O O O
826	Может быть , Ерофеев вышел и не из-за угла .	O O O B-PER O O O O O O
827	Сегодня приходила наша доктор Ирочка .	O O O B-CHAR B-PER O
828	Не дождавшись « 600 секунд » , бабушка и мама ушли в обувной [ на отметку ] .	O O O O O O O B-CHAR O B-CHAR O O O O O O O O
829	Даже Нина , даже библиотека с тем добрым , что вспомнилось сегодня за этими ( совсем как прежде ) разговорами .	O B-PER O O B-FAC O O O O O O O O O O O O O O O O
830	Толчком для постройки города на Кольском полуострове послужила 1-я Мировая война .	O O O B-LOC O B-LOC I-LOC O O O O O
831	Это я выписываю в пятницу , 15-го числа , в ожидании опять же то ли указаний , то ли отпущения нашего восвояси .	O O O O O O O O O O O O O O O O O O O O O O O
832	Это одна из теневых сторон летной романтики , и никуда от нее не денешься .	O O O O O O O O O O O O O O O
833	Этот доклад — в принципе — об исторических успехах социализма , партии , рабочего класса , о том , что мир может теперь опереться на социалистические плечи Советского Союза в предотвращении мировой войны .	O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC I-LOC O O O O O
834	Пушкина интересовало , как в этом случае поступил государь .	B-PER O O O O O O O B-CHAR O
835	И надо опять работать , чтобы узнать новый срок выдвижения каравана .	O O O O O O O O O O O O
836	Цель его приезда — выяснить возможности возвращения его племени из Пакистана на родину .	O O O O O O O O O O B-LOC O O O
837	« А за деньги я бы в жисть сюда не поехал , очень нужно ! » — объясняет Фед . Вас .	O O O O O O O O O O O O O O O O O O B-PER I-PER I-PER I-PER
838	А ведь идет лишь ноябрь 62-го ...	O O O O O O O
839	Об образовании общесоюзного Министерства внешних экономических связей .	O O O B-ORG I-ORG I-ORG I-ORG O
840	При этом добиться у Ненашева хорошего тиража .	O O O O B-PER O O O
841	Вообще он , наверно , и не переснимал , и не торчал в монтажной — как есть так есть ; это не главное ...	O O O O O O O O O O O O O B-FAC O O O O O O O O O O
842	Ельцинскую « Волгу » на улице Горького стукнул « жигуленок » , в котором ехал какой-то работяга с дочкой .	O O O O O B-LOC I-LOC O O O O O O O O O B-CHAR O B-CHAR O
843	Тем более , напрямую .	O O O O O
844	Повозку распрягли , с помощью цирандоя мину обезвредили .	O O O O O O O O O
845	Тем более что половина народа не только не хочет лечиться , а и всячески препятствует этому .	O O O O B-CHAR O O O O O O O O O O O O
846	Что профилактика заключается в улучшении воспитательной работы , повышении персональной ответственности и повышении профессионального уровня .	O O O O O O O O O O O O O O O O
847	Представляю и понимаю их чувства .	O O O O O O
848	Наглотался пыли вулкана .	O O O O
849	Румыны , со своей нефтью , — сами по себе .	B-CHAR O O O O O O O O O O
850	19-го я еще принимал в гости сестру Тамару , а 20-го отбыл взад , по проспекту Вернадского , в свой нелепейший из всех домиков на свете .	O O O O O O B-CHAR B-PER O O O O O O O B-LOC I-LOC O O O O O O O O O O
851	Пил уже по чёрному , и вдруг — встречаю его у Лысенко в Москве , лет , не соврать бы , десять назад .	O O O O O O O O O O O B-PER O B-LOC O O O O O O O O O O
852	И тогда проиграю я и оба .	O O O O O O O
853	Я и без полетов останусь человеком , но … лучше летать .	O O O O O O O O O O O O
854	Говорят , что в Киеве на выступлениях Мариэтты Чудаковой люди висели на люстрах .	O O O O B-LOC O O B-PER I-PER O O O O O
855	Я позвонила .	O O O
856	Квартира была номер восемь .	O O O O O
857	Он и о нас писал « наверх » , но больше всего писал о чехах .	O O O O O O O O O O O O O O B-CHAR O
858	В истории литературы настоящие писатели старались не убивать друг друга даже на дуэли , а у нас подряд — два убийства .	O O O O B-CHAR O O O O O O O O O O O O O O O O O
859	Мы с Пластом * пришли писать в вагон .	O O B-PER O O O O O O
860	В смысле организаторов : Маканин и Ким .	O O O O B-PER O B-PER O
861	Инфляция почти в 5 раз На работе начались разговоры о том , где хранить картошку на зиму .	O O O O O O O O O O O O O O O O O O
862	Духовное начало , конечно же , поддерживает мастерство на должном уровне , и есть задел .	O O O O O O O O O O O O O O O O
863	А мы — ленивые , зажравшиеся , мы — его величество рабочий класс .	O O O O O O O O O O O B-CHAR I-CHAR O
864	Да всю жизнь испытывают !	O O O O O
865	Но почему я поймал себя на этой мысли ?	O O O O O O O O O
866	Отпевание в Преображенском соборе .	O O B-FAC I-FAC O
867	Евстигнеев заболел , и мне позвонили оттуда : ваш отпуск закончен , теперь вы должны ...	B-PER O O O O O O O O O O O O O O O
868	В 8 утра мы вышли из дома и через час 10 мин [ ут ] бодро дошли до станции метро .	O O O O O O O O O O O O O O O O O O B-FAC I-FAC O
869	( Собственно и политического памфлета не будет . )	O O O O O O O O O
870	Когда я его стронул , пошел делать круги по лесу , появились сдвойки , иногда останавливается , оборачивается вслед своему ходу , наверное , прислушивался к моему треску .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
871	Прекратил сопротивление .	O O O
872	Обычная , нормальная опера , далеко не лучшая у Чайковского , есть несколько хороших музыкальных моментов , а в основном банальная , и даже туповатая музыка , особенно хоры , да еще неинтересная симфоническая картина Полтавского боя ( на уровне крепкого ремесленника Римского-Корсакова ) .	O O O O O O O O O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER O O
873	А если чего — и в рожу …	O O O O O O O O
874	Во время Хостинской операции , находясь на блоке , рубил дрова .	O O O O O O O O O O O O
875	Саперное дело надо осваивать только на практике , на опыте .	O O O O O O O O O O O
876	Люди доползли до него , но 5 ч . не могли сбросить панель , не было чем .	O O O O O O O O O O O O O O O O O O
877	М . С . « жался » ...	B-PER I-PER I-PER I-PER O O O O
878	Половина шестого	O O
879	Там уже к Веничкиному дню рождения расставлены столы .	O O O B-PER O O O O O
880	И . : — Вам идет улыбка .	O O O O O O O O
881	Глаголин : — Когда я вхожу в театр и вижу , что на одной сцене идет « Мизантроп » , а на другой — « Зори » , спектакли , поставленные совершенно противоположными , разными режиссерами , в разных манерах , меня охватывают безотчетная радость и гордость нашего существования .	B-PER O O O O O O B-FAC O O O O O O O O O O O O O O O O O O O O O O O O O O O B-CHAR O O O O O O O O O O O O O O
882	Удивляюсь , как мы все не сдохли здесь .	O O O O O O O O O
883	В большой вонциммер нарядная ёлка между каменными торсами из Камбоджи и Тайланда , картина « большой красноватый стул » Бориса Биргера стоит на полу у стены и неподалеку на стене портрет пра-пра-прадеда Германа ( XVI-XVII век ) .	O O O O O O O O O B-LOC O B-LOC O O O O O O O B-PER I-PER O O O O O O O O O O B-CHAR B-PER O O O O O
884	Архитекторы работают .	B-CHAR O O
885	У Кларки опять бесконечные жалобы : полчаса ныла в трубку про круг своих забот — поди тяжко .	O B-PER O O O O O O O O O O O O O O O O
886	Сегодня утром разговаривали с Грачевым .	O O O O B-PER O
887	Но Буш несколько нерешителен , осторожничает .	O B-PER O O O O O
888	Сочельник .	O O
889	Одни опасались этих изменений , новаций .	O O O O O O O
890	Это перемещаются куда-то кочевники ( кучи , по-местному ) .	O O O B-CHAR O B-CHAR O O O O
891	Осмотрела выставку Владимира Яковлева .	O O B-PER I-PER O
892	Две недели не писал дневник .	O O O O O O
893	Теплилась алая лампадка .	O O O O
894	В театрах выдающихся постановок давно нет ( я слышала ) , но и хожу все реже .	O B-FAC O O O O O O O O O O O O O O O
895	Обсудили состав ЦК .	O O B-ORG O
896	Завтра кто-то будет уже сдавать .	O O O O O O
897	Предложу это М . С . В понедельник М . С . примет Харта ( американский сенатор ) и посла Англии .	O O B-PER I-PER I-PER I-PER O O B-PER I-PER I-PER I-PER O B-PER O O B-CHAR O O B-CHAR B-LOC O
898	Элла с вечера говорила , что есть поклонники активного и пассивного воспитания , но я не определила , какую точку зрения поддерживает она сама .	B-PER O O O O O O O O O O O O O O O O O O O O O O O O
899	Вчера и сегодня в Рейкьявике идут переговоры между Горбачевым и Рейганом .	O O O O B-LOC O O O B-PER O B-PER O
900	Говорили , что ото оттого , что в старину за воровство у них отрубали руку .	O O O O O O O O O O O O O O O O
901	На работе у нас какой-то кризис .	O O O O O O O
902	Срочно стали ловить погоду Кемерова , там ветер по полосе .	O O O O B-LOC O O O O O O
903	На следующий день он подал заявление о выходе из партии 1991.08.19 .	O O O O O O O O O B-ORG O O
904	Не оказалось их и в Красном Яру .	O O O O O B-LOC I-LOC O
905	3 . Здравоохранение находится в тяжелом состоянии .	O O O O O O O O
906	Ну вообщем приехали на вокзал , сели в поезд .	O O O O B-FAC O O O O O
907	Женя принес « Огоньки » и « Известия » со статьей ** Бориса ** ** Васильева ** .	B-PER O O O O O O O O O O O B-PER I-PER I-PER I-PER O O
908	« Тайный » ( по всем прошлым понятиям ) доклад Рыжкова на заседании Президентского совета и Совета Федерации .	O O O O O O O O O O B-PER O O B-ORG I-ORG O B-ORG I-ORG O
909	Макарыча дома не было .	B-PER O O O O
910	Он считается колыбелью зарождения мексиканской цивилизации .	O O O O O O O
911	Сейчас для всех важно , кто займет это место , от этого во многом зависят и выступления , и кормушка ( которой все равно нет ) , и отсутствующие в перспективе публикации .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
912	Раздули предпосылку .	O O O
913	Да и убедить можно нынче только рублем .	O O O O O O O O
914	*** Обнинск . *** После эйфории первой страницы начался спад .	O B-LOC O O O O O O O O O
915	В 4 уснула , проснулась в 7 и в 9 совсем , и все время с тяжестью .	O O O O O O O O O O O O O O O O O O
916	Снизу в сторону горы заработал пулемет , и теперь уже не только свист пуль над нами , но и светящиеся очереди трассеров прижали нас к земле .	O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O
917	Через двадцать минут возвращаемся домой , запираемся на все замки и готовимся ко сну .	O O O O O O O O O O O O O O O
918	Господи , Господи , Господи .	O O O O O O
919	Он использовал весь арсенал испытанных средств - уговаривал , обещал , возмущался , грозил , льстил , соглашался , грубил .	O O O O O O O O O O O O O O O O O O O O O
920	Но ведь я же знал на дне души , что так будет .	O O O O O O O O O O O O O
921	При академии образовались прекрасно обставленные учебно-воспитательные учреждения .	O B-FAC O O O B-FAC I-FAC O
922	Сумасшедший дом : каждый кричит , стараясь кричать громче всех других .	O O O O O O O O O O O O
923	Была я в христианской общине , пили чай , разговаривали .	O O O B-ORG I-ORG O O O O O O
924	Сегодня — собеседование с новыми моими студентами .	O O O O O O B-CHAR O
925	Дворцовые интриги и адюльтеры , возвышения и падения , заговоры , убийства и чудачества .	O O O O O O O O O O O O O O O
926	Разве не надо собрать все силы для сопротивления наступлению , которое тотально направлено против нас со времен блокады ?	O O O O O O O O O O O O O O O O O O O
927	Вот так куется литературное счастье .	O O O O O O
928	Понимает ли это Михаил Сергеевич ?	O O O B-PER I-PER O
929	М . С . вечером позвонил мне .	B-PER I-PER I-PER I-PER O O O O
930	Рисовал он , когда все уходили , иначе домашние его гоняли .	O O O O O O O O B-CHAR O O O
931	Бодрую .	O O
