,tokens,BIO_str,BIO_nums,BIO_list
1032,"Все полы в гостинице — и в номерах , и в коридоре , и в ресторанах , и в баре , и в зрительном зале — покрыты однотонным темно-фиолетовым ковром , заделанным под плинтус .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1033,К доктору мы отправились вчетвером .,O O O O O O,"[10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O']"
1035,"Это уже образец , модель гонимого по политическим мотивам ученого , облагодетельствованного вдруг Сталиным , и идущего на подлость , хотя поначалу выглядел героически .",O O O O O O O O O B-CHAR O O O B-PER O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1037,Ощущение бессилия и бессмысленности .,O O O O O,"[10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O']"
1038,Работает — не лезь !,O O O O O,"[10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O']"
1039,Сейчас мучает в основном сотрудников,O O O O O,"[10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O']"
1041,Это мое право : принимать окончательное решение о количестве топлива на борту .,O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1043,Июльский день сильно смахивал на октябрьский .,O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
1045,"Служат , как в Союзе .",O O O O B-LOC O,"[10, 10, 10, 10, 0, 10]","['O', 'O', 'O', 'O', 'B-LOC', 'O']"
1046,Эта книга досталась ей от деда Степана Артемьевича Тавризова .,O O O O O B-CHAR B-PER I-PER I-PER O,"[10, 10, 10, 10, 10, 8, 6, 7, 7, 10]","['O', 'O', 'O', 'O', 'O', 'B-CHAR', 'B-PER', 'I-PER', 'I-PER', 'O']"
1047,С чем они связаны ?,O O O O O,"[10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O']"
1048,Иван Антонович стал измерять ему артериальное давление .,B-PER I-PER O O O O O O,"[6, 7, 10, 10, 10, 10, 10, 10]","['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O']"
1049,Но ты прав : это — сборище подонков и проституток .,O O O O O O O B-CHAR O B-CHAR O,"[10, 10, 10, 10, 10, 10, 10, 8, 10, 8, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O', 'B-CHAR', 'O']"
1050,"Вчера вернулся после трехдневной поездки , был ... в Вольфенбютель .",O O O O O O O O O B-LOC O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
1051,"Новый главврач , очаровательная Жанна Болотова — приходит в застоявшийся дом стариков .",O B-CHAR O O B-PER I-PER O O O O O B-CHAR O,"[10, 8, 10, 10, 6, 7, 10, 10, 10, 10, 10, 8, 10]","['O', 'B-CHAR', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O']"
1052,"Старики задают вопросы , мы отвечаем .",B-CHAR O O O O O O,"[8, 10, 10, 10, 10, 10, 10]","['B-CHAR', 'O', 'O', 'O', 'O', 'O', 'O']"
1053,"Итак : не приватизация , а лучше « деэтатизация » [ * сокращение * * государственной * * собственности * * — * * прим . * * автора * ] , не частная собственность на землю , а бессрочная аренда , не собственные предприятия , а участие во владении ими по количеству акций и т . д .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1056,"Вечером только вхожу в дом — звонит Мамин , договариваемся на « прийти » , но у меня так и не убрана машинка , много работы ( у него — не меньше ) , так что не сейчас .",O O O O O O O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1057,Море оказалось для здешних мест прохладным,O O O O O O,"[10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O']"
1058,Сейчас придет Никита со стимулятором — лекарь поневоле .,O O B-PER O O O O O O,"[10, 10, 6, 10, 10, 10, 10, 10, 10]","['O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O']"
1059,"На улице увидел паучка , опять какое-то дурное известие .",O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1060,"Сейчас читал автокомментарий Экко — поразительно естественное , « без швов и перегородок » , сочетание настоящей учености , дотошной , книжной , пристрастно пытливой , предерзостной , с художественной , поэтической фантазией , изысканной , изощренной ; с рационалистической логикой схоласта , лихо маневрирующего между « реалистскими » универсалиями и номиналистскими , эмпирическими наблюдениями , и тут же буйное озорное , безудержно чувственное , плотское упоение игрой любовной и детективной , пристальное беспощадное исследование , чтобы не сказать любующееся разглядыванием жестоких извращений , маний , всяческих темных тайников и лабиринтов , монастырских , конкретно исторических и душевных , плотских .",O O O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1061,"Однако , думаю , это сигналы и визит Мэтлока подогрели его , подтолкнули к тому , чтобы устроить настоящий разнос Верховному Совету .",O O O O O O O O B-PER O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1062,"В ординаторской стояла Станислава Игнатьевна , его жена и наша бывшая заведующая лабораторией .",O O O B-PER I-PER O O B-CHAR O O O B-CHAR O O,"[10, 10, 10, 6, 7, 10, 10, 8, 10, 10, 10, 8, 10, 10]","['O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'B-CHAR', 'O', 'O', 'O', 'B-CHAR', 'O', 'O']"
1064,"Ладно , идём за bus ` ом , долго идём , возвращаемся и снова идём .",O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1065,Поздравлял меня с членством в Союзе художников .,O O O O O O B-CHAR O,"[10, 10, 10, 10, 10, 10, 8, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O']"
1066,"Он своей неординарностью , это следует признать , задал тон и выступлениям и определил саму атмосферу конференции .",O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1067,А рядом лежит недвижимый Киямов .,O O O O B-PER O,"[10, 10, 10, 10, 6, 10]","['O', 'O', 'O', 'O', 'B-PER', 'O']"
1069,"В эту неделю и произошло ничего особенного , если не считать ссоры с Лешкой Ореховым , впрочем я с ним быстро помирился .",O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1070,Эти дети с замедленным развитием в каком-то смысле . Печаль на душе такая древняя . Три недели выхода из ада осветили более ярко наши гнусности .,O B-CHAR O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'B-CHAR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1071,"Слышать , понимать , чувствовать , любить , и еще самостоятельно чегой-то бренчать .",O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1072,Несправедливо все это .,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
1073,Вернулись в камеру злые .,O O O O O,"[10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O']"
1074,"Э . К . < com id = "" 14808743724299 "" / > называет поименно новый секретариат ...",O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1075,"Как можно спорить , что это — игрушки ?",O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1076,Московским деятелям — трем начальникам главка Минторга — « определили » почему-то меньше : по 8 — 10 лет .,O B-CHAR O O B-CHAR O O O O O O O O O O O O O O O,"[10, 8, 10, 10, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'B-CHAR', 'O', 'O', 'B-CHAR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1077,"Июльская жара плыла от палящего солнца , и ветки трещали , как в костре ...",O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1078,"Об этом , кстати , я читал в письмах Ван Гога .",O O O O O O O O O B-PER I-PER O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 6, 7, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O']"
1079,Я в смятении : отнять у Венички остаток надежды ?,O O O O O O B-PER O O O,"[10, 10, 10, 10, 10, 10, 6, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O']"
1080,Выпил и вторую .,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
1083,"Это режиссерский фильм , текст сценария — самое слабое .",O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1084,Она — единственная .,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
1086,"Правда , без фотографии и благоухания , но все-таки . Вечером проявили нашу копенгагенскую пленку , точнее , скорее всего это была она , но я нашла две пленки , замотанные в фольгу .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1089,Люди могут болтаться там целыми днями .,O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
1091,"В 1959 году , по словам Виталия Яковлевича Вульфа , пьесу собиралась играть великая М . И . Бабанова .",O O O O O O B-PER I-PER I-PER O O O O O B-PER I-PER I-PER I-PER I-PER O,"[10, 10, 10, 10, 10, 10, 6, 7, 7, 10, 10, 10, 10, 10, 6, 7, 7, 7, 7, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'O']"
1092,"Кроме того , нужно учесть , что одежда тут дорогая .",O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1093,"По мировым ценам , за валюту .",O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
1095,Торгуют генералы и полковники в отставке .,O B-CHAR O B-CHAR O O O,"[10, 8, 10, 8, 10, 10, 10]","['O', 'B-CHAR', 'O', 'B-CHAR', 'O', 'O', 'O']"
1096,"Я больше не увижу тебя никогда , жестокая смерть разлучила нас .",O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1097,А моя с ним беседа так и лежит в дальнем ящике стола : ушёл поезд ...,O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1098,"Мы его все подначиваем , при его появлении , шутливо командуем : « Смирно ! » .",O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1100,Почему я так люблю Москву ?,O O O O B-LOC O,"[10, 10, 10, 10, 0, 10]","['O', 'O', 'O', 'O', 'B-LOC', 'O']"
1101,Самым близким в омонимическом смысле человеком оставался шеф немецкого абвера адмирал Канарис .,O O O O O O O B-CHAR O O B-CHAR B-PER O,"[10, 10, 10, 10, 10, 10, 10, 8, 10, 10, 8, 6, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O', 'O', 'B-CHAR', 'B-PER', 'O']"
1103,Мой переводчик Шарафуддин после тяжелого ранения все еще находился на излечении в Центральном военном госпитале .,O B-CHAR B-PER O O O O O O O O O O O O O,"[10, 8, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'B-CHAR', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1105,"Это не « обывательское брюзжание » , как говорят некоторые ретивые партейцы .",O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1106,"Может быть , Ерофеев вышел и не из-за угла .",O O O B-PER O O O O O O,"[10, 10, 10, 6, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O']"
1107,Сегодня приходила наша доктор Ирочка .,O O O B-CHAR B-PER O,"[10, 10, 10, 8, 6, 10]","['O', 'O', 'O', 'B-CHAR', 'B-PER', 'O']"
1108,"Не дождавшись « 600 секунд » , бабушка и мама ушли в обувной [ на отметку ] .",O O O O O O O B-CHAR O B-CHAR O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 8, 10, 8, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O', 'B-CHAR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1109,"Возможно Коль настроен чересчур оптимистично , в то время как представитель советского МИДа Герасимов говорит об этом более сдержанно , но главное все же в том , что Горбачев признает право обоих народов воссоединиться .",O O O O O O O O O O O O B-ORG O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 2, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1110,"Даже Нина , даже библиотека с тем добрым , что вспомнилось сегодня за этими ( совсем как прежде ) разговорами .",O B-PER O O O O O O O O O O O O O O O O O O O,"[10, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1112,"Это я выписываю в пятницу , 15-го числа , в ожидании опять же то ли указаний , то ли отпущения нашего восвояси .",O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1113,"Это одна из теневых сторон летной романтики , и никуда от нее не денешься .",O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1115,"Пушкина интересовало , как в этом случае поступил государь .",B-PER O O O O O O O B-CHAR O,"[6, 10, 10, 10, 10, 10, 10, 10, 8, 10]","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'O']"
1117,Цель его приезда — выяснить возможности возвращения его племени из Пакистана на родину .,O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1118,"« А за деньги я бы в жисть сюда не поехал , очень нужно ! » — объясняет Фед . Вас .",O O O O O O O O O O O O O O O O O O B-PER I-PER I-PER I-PER,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 6, 7, 7, 7]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'I-PER']"
1119,А ведь идет лишь ноябрь 62-го ...,O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
1120,Об образовании общесоюзного Министерства внешних экономических связей .,O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1121,При этом добиться у Ненашева хорошего тиража .,O O O O B-PER O O O,"[10, 10, 10, 10, 6, 10, 10, 10]","['O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O']"
1122,"Вообще он , наверно , и не переснимал , и не торчал в монтажной — как есть так есть ; это не главное ...",O O O O O O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1125,Нас приняла Наталья Григорьевна Соколова и еще ряд сотрудниц .,O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1126,"Повозку распрягли , с помощью цирандоя мину обезвредили .",O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1127,"Тем более что половина народа не только не хочет лечиться , а и всячески препятствует этому .",O O O O B-CHAR O O O O O O O O O O O O,"[10, 10, 10, 10, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'B-CHAR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1128,"Что профилактика заключается в улучшении воспитательной работы , повышении персональной ответственности и повышении профессионального уровня .",O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1129,Представляю и понимаю их чувства .,O O O O O O,"[10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O']"
1130,Наглотался пыли вулкана .,O O O O,"[10, 10, 10, 10]","['O', 'O', 'O', 'O']"
1131,"Румыны , со своей нефтью , — сами по себе .",B-CHAR O O O O O O O O O O,"[8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['B-CHAR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1132,"19-го я еще принимал в гости сестру Тамару , а 20-го отбыл взад , по проспекту Вернадского , в свой нелепейший из всех домиков на свете .",O O O O O O B-CHAR B-PER O O O O O O O O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 8, 6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'B-CHAR', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1133,"Пил уже по чёрному , и вдруг — встречаю его у Лысенко в Москве , лет , не соврать бы , десять назад .",O O O O O O O O O O O B-PER O B-LOC O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 6, 10, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1134,И тогда проиграю я и оба .,O O O O O O O,"[10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
1135,"Я и без полетов останусь человеком , но … лучше летать .",O O O O O O O O O O O O,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1136,"Говорят , что в Киеве на выступлениях Мариэтты Чудаковой люди висели на люстрах .",O O O O B-LOC O O B-PER I-PER O O O O O,"[10, 10, 10, 10, 0, 10, 10, 6, 7, 10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O']"
1137,Я позвонила .,O O O,"[10, 10, 10]","['O', 'O', 'O']"
1138,Квартира была номер восемь .,O O O O O,"[10, 10, 10, 10, 10]","['O', 'O', 'O', 'O', 'O']"
